환산법,소주1병,360ml,,,
,맥주,알아서,,,
,기타,"센술은 소주로, 약한술은 맥주로",,,
,,,,,
날짜,소주,맥주,기타,소주환산,맥주환산
2020-01-01,,"0.5큰병, 500 1캔","심술7도 0.5병, 심술12도 0.5병",120ml,900ml
2020-01-02,,500 1캔,,,500ml
2020-01-03,2.5병,,,900ml,
2020-01-04,,1500ml,,,1500ml
2020-01-05,,500ml,,,500ml
2020-01-06,,820ml,,,820ml
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-11,,,,,
2020-01-12,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-18,,,,,
2020-01-19,,,,,
2020-01-20,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-25,,,,,
2020-01-26,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
